,V,Nb,temp,Comp-Distance-Spectral,Cosine-Local-Scaling-Spectral,Cosine-Spectral,VAE-Spectral
0,99,1,23,2,2,2,2
1,98,2,23,2,2,2,2
2,97,3,23,2,2,2,2
3,96,4,23,2,2,2,2
4,95,5,23,2,2,2,2
5,94,6,23,2,2,2,2
6,93,7,23,2,2,1,1
7,92,8,23,2,1,1,1
8,90,10,23,1,1,1,1
9,89,11,23,1,1,1,1
10,88,12,23,1,1,1,1
11,87,13,23,1,1,1,1
12,86,14,23,1,1,1,1
13,85,15,23,1,1,1,1
14,84,16,23,1,1,1,1
15,83,17,23,1,1,1,1
16,82,18,23,1,1,1,0
17,81,19,23,1,1,1,0
18,80,20,23,1,1,1,0
44,99,1,30,2,2,2,2
45,98,2,30,2,2,2,2
46,97,3,30,2,2,2,2
47,96,4,30,2,2,2,2
48,95,5,30,2,2,2,2
49,94,6,30,2,2,1,2
50,93,7,30,2,2,1,2
51,92,8,30,2,1,1,1
52,90,10,30,1,1,1,1
53,89,11,30,1,1,1,1
54,88,12,30,1,1,1,1
55,87,13,30,1,1,1,1
56,86,14,30,1,1,1,1
57,85,15,30,1,1,1,1
58,84,16,30,1,1,1,0
59,83,17,30,1,1,1,0
60,82,18,30,1,1,1,0
61,81,19,30,1,1,1,0
62,80,20,30,1,1,1,0
88,99,1,36,2,2,2,2
89,98,2,36,2,2,2,2
90,97,3,36,2,2,2,2
91,96,4,36,2,2,2,2
92,95,5,36,2,2,2,2
93,94,6,36,2,2,1,2
94,93,7,36,2,1,1,1
95,92,8,36,2,1,1,1
96,90,10,36,1,1,1,1
97,89,11,36,1,1,1,1
98,88,12,36,1,1,1,1
99,87,13,36,1,1,1,1
100,86,14,36,1,1,1,0
101,85,15,36,1,1,1,0
102,84,16,36,1,1,1,0
103,83,17,36,1,1,1,1
104,82,18,36,1,1,1,0
105,81,19,36,1,1,1,0
106,80,20,36,1,0,0,0
132,99,1,45,2,2,2,2
133,98,2,45,2,2,2,2
134,97,3,45,2,2,1,2
135,96,4,45,2,2,1,2
136,95,5,45,2,1,1,2
137,94,6,45,2,1,1,2
138,93,7,45,2,1,1,1
139,92,8,45,2,1,1,1
140,90,10,45,0,1,1,0
141,89,11,45,1,1,1,1
142,88,12,45,1,1,1,0
143,87,13,45,1,1,1,1
144,86,14,45,1,1,1,0
145,85,15,45,1,1,1,0
146,84,16,45,1,1,1,0
147,83,17,45,1,1,1,0
148,82,18,45,1,1,1,0
149,81,19,45,1,0,0,0
150,80,20,45,1,0,0,0
176,99,1,50,2,2,2,2
177,98,2,50,2,2,1,2
178,97,3,50,2,2,1,2
179,96,4,50,2,1,1,2
180,95,5,50,2,1,1,2
181,94,6,50,0,1,1,1
182,93,7,50,0,1,1,1
183,92,8,50,0,1,1,1
184,90,10,50,0,1,1,0
185,89,11,50,0,1,1,1
186,88,12,50,0,1,1,1
187,87,13,50,0,1,1,1
188,86,14,50,0,1,1,0
189,85,15,50,1,1,1,0
190,84,16,50,1,1,1,0
191,83,17,50,1,1,1,0
192,82,18,50,1,1,0,0
193,81,19,50,1,1,0,0
194,80,20,50,1,0,0,0
220,99,1,55,2,1,1,2
221,98,2,55,0,1,1,2
222,97,3,55,0,1,1,2
223,96,4,55,0,1,1,2
224,95,5,55,0,1,1,1
225,94,6,55,0,1,1,1
226,93,7,55,0,1,1,1
227,92,8,55,0,1,1,1
228,90,10,55,0,1,1,0
229,89,11,55,0,1,1,1
230,88,12,55,0,1,1,1
231,87,13,55,0,1,1,0
232,86,14,55,0,1,1,0
233,85,15,55,0,1,1,0
234,84,16,55,0,1,1,1
235,83,17,55,0,1,1,0
236,82,18,55,0,1,0,0
237,81,19,55,1,0,0,0
238,80,20,55,1,0,0,0
264,99,1,62,0,1,1,2
265,98,2,62,0,1,1,1
266,97,3,62,0,1,1,1
267,96,4,62,0,1,1,1
268,95,5,62,0,1,1,1
269,94,6,62,0,1,1,1
270,93,7,62,0,1,1,1
271,92,8,62,0,1,1,1
272,90,10,62,0,1,1,1
273,89,11,62,0,1,1,1
274,88,12,62,0,1,1,1
275,87,13,62,0,1,1,1
276,86,14,62,0,1,1,0
277,85,15,62,0,1,1,0
278,84,16,62,0,1,1,0
279,83,17,62,0,1,1,0
280,82,18,62,0,1,0,0
281,81,19,62,0,0,0,0
282,80,20,62,0,0,0,0
308,99,1,68,0,1,1,1
309,98,2,68,0,1,1,1
310,97,3,68,0,1,1,1
311,96,4,68,0,1,1,1
312,95,5,68,0,1,1,1
313,94,6,68,0,1,1,1
314,93,7,68,0,1,1,1
315,92,8,68,0,1,1,1
316,90,10,68,0,1,1,1
317,89,11,68,0,1,1,1
318,88,12,68,0,1,1,1
319,87,13,68,0,1,1,1
320,86,14,68,0,1,1,0
321,85,15,68,0,1,1,0
322,84,16,68,0,1,1,0
323,83,17,68,0,1,1,0
324,82,18,68,0,1,0,0
325,81,19,68,0,0,0,0
326,80,20,68,0,0,0,0
